2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000,  1.728197731212181E-02,  1.470962386800376E+08,  1.910387265185668E-03,  2.457392574006804E+02,  2.181213657173560E+02,  2.454835722082180E+06,  1.139777636456142E-05,  3.568269969691432E+02,  3.567149672960212E+02,  1.496830578905104E+08,  1.522698771009832E+08,  3.158510822508603E+07,
2454833.500000000, A.D. 2009-Jan-02 00:00:00.0000,  1.713724454788212E-02,  1.470958301685144E+08,  1.744451143630266E-03,  2.417673730594088E+02,  2.222912334136781E+02,  2.454835916470230E+06,  1.140034191119488E-05,  3.576198020975835E+02,  3.575364633903016E+02,  1.496606004780904E+08,  1.522253707876663E+08,  3.157800027440300E+07,
2454834.500000000, A.D. 2009-Jan-03 00:00:00.0000,  1.696988821501280E-02,  1.470956207743752E+08,  1.527991109181946E-03,  2.344524894067454E+02,  2.297509740419949E+02,  2.454836058725207E+06,  1.140327816334997E-05,  3.584642765369098E+02,  3.584110326371425E+02,  1.496349084437290E+08,  1.521741961130827E+08,  3.156986919402147E+07,
2454835.500000000, A.D. 2009-Jan-04 00:00:00.0000,  1.678550790730475E-02,  1.470955557143444E+08,  1.306552703294183E-03,  2.216864157121798E+02,  2.425960052505348E+02,  2.454836136281789E+06,  1.140649413498853E-05,  3.593729308754789E+02,  3.593514292202129E+02,  1.496067815286805E+08,  1.521180073430166E+08,  3.156096831678791E+07,
2454836.500000000, A.D. 2009-Jan-05 00:00:00.0000,  1.659136746086813E-02,  1.470955508382734E+08,  1.168063593603886E-03,  2.014544624231842E+02,  2.628289808839775E+02,  2.454836137297643E+06,  1.140987327006400E-05,  3.575567171067721E-01,  3.696724000700177E-01,  1.495772418211106E+08,  1.520589328039477E+08,  3.155162125634903E+07,
2454837.500000000, A.D. 2009-Jan-06 00:00:00.0000,  1.639668056640017E-02,  1.470954910941920E+08,  1.221577708268425E-03,  1.770565241285249E+02,  2.871401948237930E+02,  2.454836052118125E+06,  1.141326863594716E-05,  1.427765598091914E+00,  1.475560446222927E+00,  1.495475749094622E+08,  1.519996587247325E+08,  3.154223487442908E+07,
2454838.500000000, A.D. 2009-Jan-07 00:00:00.0000,  1.621268156208548E-02,  1.470952352608863E+08,  1.484553341602708E-03,  1.572095770442753E+02,  3.068075449056256E+02,  2.454835875701018E+06,  1.141650112602390E-05,  2.588570981170877E+00,  2.674210087339652E+00,  1.495193447852614E+08,  1.519434543096365E+08,  3.153330394540761E+07,
2454839.500000000, A.D. 2009-Jan-08 00:00:00.0000,  1.605218259326402E-02,  1.470946325971477E+08,  1.866311153072064E-03,  1.447473397111286E+02,  3.190001501065117E+02,  2.454835610845200E+06,  1.141936521927803E-05,  3.837169070530344E+00,  3.962779462820454E+00,  1.494943430890735E+08,  1.518940535809994E+08,  3.152539507119471E+07,
2454840.500000000, A.D. 2009-Jan-09 00:00:00.0000,  1.592832844871972E-02,  1.470935554214553E+08,  2.268921219709686E-03,  1.375306453959120E+02,  3.258711592391747E+02,  2.454835271322638E+06,  1.142164686207440E-05,  5.159817191842610E+00,  5.327287577617747E+00,  1.494744332895780E+08,  1.518553111577007E+08,  3.151909740751842E+07,
2454841.500000000, A.D. 2009-Jan-10 00:00:00.0000,  1.585251856296693E-02,  1.470919438296838E+08,  2.620483484789619E-03,  1.334634675219729E+02,  3.295430477386748E+02,  2.454834883176537E+06,  1.142315445250515E-05,  6.530543689522664E+00,  6.741291991952949E+00,  1.494612815702206E+08,  1.518306193107573E+08,  3.151493762049678E+07,
2454842.500000000, A.D. 2009-Jan-11 00:00:00.0000,  1.583198700003914E-02,  1.470898460828364E+08,  2.871241443036137E-03,  1.313303368213165E+02,  3.312678147433169E+02,  2.454834482363894E+06,  1.142375630239250E-05,  7.913507413871551E+00,  8.168273557798775E+00,  1.494560320391578E+08,  1.518222179954792E+08,  3.151327728556363E+07,
2454843.500000000, A.D. 2009-Jan-12 00:00:00.0000,  1.586801149085093E-02,  1.470874307808988E+08,  2.991628466132613E-03,  1.304864025292304E+02,  3.317304886677493E+02,  2.454834108411085E+06,  1.142341044282422E-05,  9.269335429940233E+00,  9.568067679003267E+00,  1.494590486828093E+08,  1.518306665847197E+08,  3.151423139366747E+07,
2454844.500000000, A.D. 2009-Jan-13 00:00:00.0000,  1.595565556753851E-02,  1.470849571753736E+08,  2.972154238084764E-03,  1.306054346719701E+02,  3.312928571472258E+02,  2.454833796268112E+06,  1.142217260374748E-05,  1.056325303806551E+01,  1.090512957211012E+01,  1.494698465648959E+08,  1.518547359544182E+08,  3.151764664122553E+07,
2454845.500000000, A.D. 2009-Jan-14 00:00:00.0000,  1.608519173381722E-02,  1.470827148875919E+08,  2.821162392261720E-03,  1.315585869928015E+02,  3.301082382297207E+02,  2.454833569947274E+06,  1.142017846283802E-05,  1.177142381588203E+01,  1.215499778020873E+01,  1.494872458996480E+08,  1.518917769117042E+08,  3.152315011288683E+07,
2454846.500000000, A.D. 2009-Jan-15 00:00:00.0000,  1.624446851095747E-02,  1.470809623456703E+08,  2.559933323035492E-03,  1.333772238467727E+02,  3.281564215774788E+02,  2.454833440339288E+06,  1.141760958265272E-05,  1.288311327043680E+01,  1.330652444072385E+01,  1.495096674303260E+08,  1.519383725149816E+08,  3.153024259534709E+07,
