2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000,  9.345626824351395E-02,  2.066341249900037E+08,  1.848947124950280E+00,  4.953167529964018E+01,  2.865816325176713E+02,  2.454942994172004E+06,  6.065388036595631E-06,  3.020955814956167E+02,  2.924701831499598E+02,  2.279361907777322E+08,  2.492382565654607E+08,  5.935316880435899E+07,
2454833.500000000, A.D. 2009-Jan-02 00:00:00.0000,  9.345627620805885E-02,  2.066342864951342E+08,  1.848946034663786E+00,  4.953164761362212E+01,  2.865811188095234E+02,  2.454942993351229E+06,  6.065380845613958E-06,  3.026201291772308E+02,  2.930407980720474E+02,  2.279363709351082E+08,  2.492384553750822E+08,  5.935323917216605E+07,
2454834.500000000, A.D. 2009-Jan-03 00:00:00.0000,  9.345627987519121E-02,  2.066344488228712E+08,  1.848944946792174E+00,  4.953161941515695E+01,  2.865806017452787E+02,  2.454942992524758E+06,  6.065373661555993E-06,  3.031446785351432E+02,  2.936123598112727E+02,  2.279365509193784E+08,  2.492386530158856E+08,  5.935330947238734E+07,
2454835.500000000, A.D. 2009-Jan-04 00:00:00.0000,  9.345627951816354E-02,  2.066346121516072E+08,  1.848943874106201E+00,  4.953159103428991E+01,  2.865800801444749E+02,  2.454942991691248E+06,  6.065366473824883E-06,  3.036692303730025E+02,  2.941848674974655E+02,  2.279367309960285E+08,  2.492388498404498E+08,  5.935337980871917E+07,
2454836.500000000, A.D. 2009-Jan-05 00:00:00.0000,  9.345627611587656E-02,  2.066347764731178E+08,  1.848942824309510E+00,  4.953156268852189E+01,  2.865795533079583E+02,  2.454942990849853E+06,  6.065359272958652E-06,  3.041937852212496E+02,  2.947583197683179E+02,  2.279369114021139E+08,  2.492390463311099E+08,  5.935345027375332E+07,
2454837.500000000, A.D. 2009-Jan-06 00:00:00.0000,  9.345627088738806E-02,  2.066349416772434E+08,  1.848941800513572E+00,  4.953153448363478E+01,  2.865790209234474E+02,  2.454942990000125E+06,  6.065352051573318E-06,  3.047183433780289E+02,  2.953327148619273E+02,  2.279370923226307E+08,  2.492392429680181E+08,  5.935352093974793E+07,
2454838.500000000, A.D. 2009-Jan-07 00:00:00.0000,  9.345626444590117E-02,  2.066351076261625E+08,  1.848940798725778E+00,  4.953150633105656E+01,  2.865784832037551E+02,  2.454942989142180E+06,  6.065344809583172E-06,  3.052429047780076E+02,  2.959080505601002E+02,  2.279372737597295E+08,  2.492394398932966E+08,  5.935359180754313E+07,
2454839.500000000, A.D. 2009-Jan-08 00:00:00.0000,  9.345625629556029E-02,  2.066352742005783E+08,  1.848939806788339E+00,  4.953147789722946E+01,  2.865779409428828E+02,  2.454942988276746E+06,  6.065337557217291E-06,  3.057674689432062E+02,  2.964843241818550E+02,  2.279374554571385E+08,  2.492396367136987E+08,  5.935366277704154E+07,
2454840.500000000, A.D. 2009-Jan-09 00:00:00.0000,  9.345624551228424E-02,  2.066354413778678E+08,  1.848938814058563E+00,  4.953144886462136E+01,  2.865773947267352E+02,  2.454942987404291E+06,  6.065330304745852E-06,  3.062920355336149E+02,  2.970615331108755E+02,  2.279376371575541E+08,  2.492398329372405E+08,  5.935373374774263E+07,
2454841.500000000, A.D. 2009-Jan-10 00:00:00.0000,  9.345623205830039E-02,  2.066356092672196E+08,  1.848937823439657E+00,  4.953141929710068E+01,  2.865768439813165E+02,  2.454942986524024E+06,  6.065323047740522E-06,  3.068166050036693E+02,  2.976396753811800E+02,  2.279378189719225E+08,  2.492400286766253E+08,  5.935380476298103E+07,
2454842.500000000, A.D. 2009-Jan-11 00:00:00.0000,  9.345621715749665E-02,  2.066357780306054E+08,  1.848936850237204E+00,  4.953138964529276E+01,  2.865762871218858E+02,  2.454942985634096E+06,  6.065315766787135E-06,  3.073411784894301E+02,  2.982187495216394E+02,  2.279380013866411E+08,  2.492402247426767E+08,  5.935387601273989E+07,
2454843.500000000, A.D. 2009-Jan-12 00:00:00.0000,  9.345620251635486E-02,  2.066359477484759E+08,  1.848935909592936E+00,  4.953136039196004E+01,  2.865757226572173E+02,  2.454942984732813E+06,  6.065308441217658E-06,  3.078657570495927E+02,  2.987987538051842E+02,  2.279381849195254E+08,  2.492404220905749E+08,  5.935394769927432E+07,
2454844.500000000, A.D. 2009-Jan-13 00:00:00.0000,  9.345618956793184E-02,  2.066361183074638E+08,  1.848935005180890E+00,  4.953133169151685E+01,  2.865751502133139E+02,  2.454942983819711E+06,  6.065301061641836E-06,  3.083903409959568E+02,  2.993796855844644E+02,  2.279383698058441E+08,  2.492406213042244E+08,  5.935401991447898E+07,
2454845.500000000, A.D. 2009-Jan-14 00:00:00.0000,  9.345617926594600E-02,  2.066362893905418E+08,  1.848934127272930E+00,  4.953130327107667E+01,  2.865745707500532E+02,  2.454942982895750E+06,  6.065293632446895E-06,  3.089149297747785E+02,  2.999615411732095E+02,  2.279385559356883E+08,  2.492408224808348E+08,  5.935409261542492E+07,
2454846.500000000, A.D. 2009-Jan-15 00:00:00.0000,  9.345617199255318E-02,  2.066364606245692E+08,  1.848933260341362E+00,  4.953127464005893E+01,  2.865739858643678E+02,  2.454942981962577E+06,  6.065286166226703E-06,  3.094395224044687E+02,  3.005443163326363E+02,  2.279387429935399E+08,  2.492410253625105E+08,  5.935416567887362E+07,
